ACADEMIC_PERIOD,Department,Subject,Crs .,Title,IType,Sec .,CRN,Min Cr,Max Credit,Stat,Perm,Days,Meeting Time String,Dates,BldgRoom String,Enrl*,Lim**,Graduate Students,INSTRUCTOR_ID,Instructor,Instructor_Title,Grd?,Mode,Link ID,Link Cnct,XList Group,XList Enrl,XList Max Enrl,XList Seats Avail
202320,Schl of Aviation & Transp Tech,AT,32001,Advanced Aviation Operations,LEC,001,16352,3.0,3.0,,,MWF,07:30 AM-08:20 AM,01/09/23-04/29/23,NISW 214,20,30,No,27979443.0,"Habig, Ashley E.",Clinical Assistant Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202320,Schl of Aviation & Transp Tech,AT,27800,Nondestruc Test Aircft,LEC,001,11590,3.0,3.0,,,WF,10:30 AM-11:20 AM,01/09/23-04/29/23,NISW 157,23,45,No,10039453.0,"Hagovsky, Thomas C.",Associate Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Schl of Aviation & Transp Tech,AT,49000,Aviation Project,LEC,034,30190,2.0,2.0,,,F,04:00 PM-05:50 PM,01/09/23-04/29/23,NISW 220,5,10,No,10039453.0,"Hagovsky, Thomas C.",Associate Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202320,Technology Ldrshp & Innovatn,TLI,20000,Org Ldrshp Mentorship,LEC,001,28152,1.0,1.0,,,W,12:30 PM-01:20 PM,01/09/23-04/29/23,WALC 2051,39,60,No,15082686.0,"Hammoud, Abrar",Clinical Assistant Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202320,Purdue Polytechnic Inst Admin,TECH,33000,Tech And The Global Society,LEC,001,64767,3.0,3.0,,,TR,10:30 AM-11:45 AM,01/09/23-04/29/23,WALC 2088,53,55,No,15082686.0,"Hammoud, Abrar",Clinical Assistant Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202320,Computer Information Tech,CNIT,27000,Cybersecurity Fundamentals I,LEC,010,12439,3.0,3.0,,,TR,07:30 AM-08:20 AM,01/09/23-04/29/23,FRNY G140,214,216,No,10279337.0,"Hands, Nicole M.",Clinical Assistant Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Computer Information Tech,CNIT,47000,Incident Response Management,LEC,001,16952,3.0,3.0,,,MW,01:30 PM-02:20 PM,01/09/23-04/29/23,KNOY B041,6,20,No,10279337.0,"Hands, Nicole M.",Clinical Assistant Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Computer Information Tech,CNIT,58100,Network Forensics,LEC,030,12463,3.0,3.0,,,W,06:00 PM-08:50 PM,01/09/23-04/29/23,DUDL 5341,14,35,No,10279337.0,"Hands, Nicole M.",Clinical Assistant Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202320,Computer Graphics Technology,CGT,24100,Intro Comptr Animation,LEC,001,13539,3.0,3.0,,,TR,07:30 AM-08:20 AM,01/09/23-04/29/23,HEAV B020,27,30,No,15522660.0,"Hassan, Raymond P.",Associate Professor of Practice,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Computer Graphics Technology,CGT,24100,Intro Comptr Animation,LEC,004,16381,3.0,3.0,,,TR,09:30 AM-10:20 AM,01/09/23-04/29/23,HEAV B020,30,30,No,15522660.0,"Hassan, Raymond P.",Associate Professor of Practice,Y,Reg,A3,A4,Unk,0.0,0.0,0.0
202320,Computer Graphics Technology,CGT,34100,Motion For Comp Anim,LEC,001,13559,3.0,3.0,,,MW,09:30 AM-10:20 AM,01/09/23-04/29/23,DUDL 1383,30,30,No,15522660.0,"Hassan, Raymond P.",Associate Professor of Practice,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Schl of Aviation & Transp Tech,AT,24900,Instrumt Flt Lectures,LEC,001,11486,3.0,3.0,,,TR,04:30 PM-05:45 PM,01/09/23-04/29/23,NISW 149,51,72,No,35685221.0,"Henneberry, Debra",Assistant Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202320,Schl of Aviation & Transp Tech,AT,25400,Commercial Flt Lecture,LEC,001,11577,3.0,3.0,,,MWF,02:30 PM-03:20 PM,01/09/23-04/29/23,LILY 3118,70,77,No,35685221.0,"Henneberry, Debra",Assistant Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202320,Schl of Aviation & Transp Tech,AT,25400,Commercial Flt Lecture,LEC,002,26750,3.0,3.0,,,MWF,11:30 AM-12:20 PM,01/09/23-04/29/23,LWSN B155,52,52,No,35685221.0,"Henneberry, Debra",Assistant Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202320,Military Science,MSL,10200,Foundations Of Leadership,LEC,004,38309,2.0,2.0,,,R,12:30 PM-01:20 PM,01/09/23-04/29/23,AR 101,11,20,No,18635240.0,"Heslin, Paul E.",Recruiting Operations Officer Army ROTC,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Military Science,MSL,10200,Foundations Of Leadership,LEC,001,38306,2.0,2.0,,,W,08:30 AM-09:20 AM,01/09/23-04/29/23,AR 101,16,20,No,18635240.0,"Heslin, Paul E.",Recruiting Operations Officer Army ROTC,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Military Science,MSL,10200,Foundations Of Leadership,LEC,003,38308,2.0,2.0,,,T,09:30 AM-10:20 AM,01/09/23-04/29/23,AR 102,11,20,No,18635240.0,"Heslin, Paul E.",Recruiting Operations Officer Army ROTC,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Military Science,MSL,20200,Army Doctrine Decision Making,LEC,003,22894,3.0,3.0,,,TR,09:30 AM-10:20 AM,01/09/23-04/29/23,AR 101,26,36,No,18635240.0,"Heslin, Paul E.",Recruiting Operations Officer Army ROTC,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Military Science,MSL,20200,Army Doctrine Decision Making,LEC,001,22892,3.0,3.0,,,TR,01:30 PM-02:20 PM,01/09/23-04/29/23,AR 101,22,36,No,18635240.0,"Heslin, Paul E.",Recruiting Operations Officer Army ROTC,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
